Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
0.56,137.9,2024-02-27 11:00,0.0,1.27
0.57,137.92,2024-02-27 12:00,0.0,0.67
0.59,137.95,2024-02-27 13:00,0.0,1.05
0.57,137.98,2024-02-27 01:00,0.0,1.98
0.69,138.14,2024-02-22 12:00,0.0,1.01
0.68,138.12,2024-02-22 13:00,0.0,0.23
0.54,138.01,2024-02-22 15:00,0.0,0.18
0.59,138.0,2024-02-27 14:00,0.0,1.08
0.6,138.07,2024-02-27 15:00,0.0,1.04
0.59,138.1,2024-02-27 16:00,0.0,1.28
0.59,138.14,2024-02-27 17:00,0.0,0.1
0.54,138.16,2024-02-28 20:00,0.0,0.73
0.38,137.88,2024-02-22 17:00,0.0,0.37
0.4,137.9,2024-02-22 16:00,0.0,1.91
0.48,138.15,2024-02-28 21:00,0.0,1.4
0.46,138.15,2024-02-28 22:00,0.0,0.32
0.37,138.15,2024-02-28 23:00,0.0,1.4
0.63,138.34,2024-02-26 16:00,0.0,1.04
0.68,138.34,2024-02-26 15:00,0.0,1.05
0.54,138.19,2024-02-28 18:00,0.0,0.27
0.58,138.23,2024-02-27 21:00,0.0,1.15
0.56,138.24,2024-02-28 16:00,0.0,0.98
0.54,138.17,2024-02-28 19:00,0.0,1.67
0.55,138.17,2024-02-26 23:00,0.0,1.43
0.54,138.2,2024-02-28 17:00,0.0,1.13
0.58,138.19,2024-02-27 18:00,0.0,1.01
0.59,138.23,2024-02-27 19:00,0.0,1.87
0.58,138.24,2024-02-27 22:00,0.0,1.02
0.58,138.24,2024-02-27 20:00,0.0,0.69
0.57,138.28,2024-02-28 15:00,0.0,1.05
0.54,138.27,2024-02-26 22:00,0.0,0.59
0.58,138.34,2024-02-28 14:00,0.0,1.87
0.63,138.4,2024-02-25 21:00,0.0,1.09
0.58,138.37,2024-02-27 23:00,0.0,1.05
0.56,138.4,2024-02-25 18:00,0.0,0.64
0.58,138.42,2024-02-28 00:00,0.0,1.13
0.54,138.34,2024-02-26 19:00,0.0,1.07
0.58,138.34,2024-02-26 17:00,0.0,1.23
0.55,138.35,2024-02-26 18:00,0.0,0.83
0.53,138.34,2024-02-26 20:00,0.0,0.69
0.53,138.34,2024-02-26 21:00,0.0,1.93
